,Date,Open,High,Low,Close,Adjusted_Close,Volume,Dividends
5182,2018-08-07,108.56,109.1,108.17,108.88,107.5221,16080214.0,0.0
5181,2018-08-06,108.12,108.42,107.559,108.13,106.7814,20265947.0,0.0
5180,2018-08-03,107.8,108.05,106.82,108.04,106.6926,18659599.0,0.0
5179,2018-08-02,105.4,108.09,104.84,107.57,106.2284,26104258.0,0.0
5178,2018-08-01,106.03,106.446,105.42,106.28,104.9545,23628699.0,0.0
5177,2018-07-31,106.49,106.72,105.38,106.08,104.757,27655152.0,0.0
5176,2018-07-30,107.19,107.53,104.76,105.37,104.0559,34668327.0,0.0
5175,2018-07-27,110.18,110.18,106.14,107.68,106.3371,37005292.0,0.0
5174,2018-07-26,110.74,111.0,109.5,109.62,108.2529,31372110.0,0.0
5173,2018-07-25,107.955,111.15,107.6,110.83,109.4478,30798058.0,0.0
5172,2018-07-24,108.57,108.82,107.26,107.66,106.3173,26316619.0,0.0
5171,2018-07-23,106.3,108.14,106.13,107.97,106.6234,29706955.0,0.0
5170,2018-07-20,108.08,108.2,106.08,106.27,104.9446,56038827.0,0.0
5169,2018-07-19,104.93,105.31,103.89,104.4,103.098,40171646.0,0.0
5168,2018-07-18,105.94,106.05,104.715,105.12,103.809,29493927.0,0.0
5167,2018-07-17,104.61,106.5,104.32,105.95,104.6286,25901726.0,0.0
5166,2018-07-16,105.4,105.82,104.515,104.91,103.6016,21786912.0,0.0
5165,2018-07-13,104.37,105.6,104.09,105.43,104.1151,24653500.0,0.0
5164,2018-07-12,102.77,104.41,102.73,104.19,102.8906,24335929.0,0.0
5163,2018-07-11,101.15,102.34,101.1,101.98,100.7081,19644648.0,0.0
5162,2018-07-10,102.0,102.51,101.86,102.12,100.8464,19293140.0,0.0
5161,2018-07-09,101.6452,102.25,101.251,101.85,100.5798,18211980.0,0.0
5160,2018-07-06,99.885,101.43,99.67,101.16,99.8984,19234627.0,0.0
5159,2018-07-05,99.5,99.92,99.0299,99.76,98.5158,18977402.0,0.0
5158,2018-07-03,100.48,100.63,98.94,99.05,97.8147,14670275.0,0.0
5157,2018-07-02,98.1,100.06,98.0,100.01,98.7627,19564521.0,0.0
5156,2018-06-29,98.93,99.91,98.33,98.61,97.3802,28053214.0,0.0
5155,2018-06-28,97.38,99.11,97.26,98.63,97.3999,26650671.0,0.0
